,original_counts,average_counts,std_dev,z_scores
motif_1,0,0.4,0.5026246899500346,-0.7958224257542215
motif_2,0,0.25,0.4442616583193193,-0.5627314338711377
motif_3,0,1.8,1.704483252453581,-1.0560385368462402
motif_4,2,0.35,0.4893604849295929,3.3717475170423596
motif_5,2,0.8,1.0052493799000692,1.1937336386313322
motif_6,0,0.15,0.36634754853252327,-0.40944726012458477
motif_7,0,0.1,0.44721359549995787,-0.22360679774997902
motif_8,1,0.5,0.7608859102526822,0.6571287406727709
motif_9,0,0.0,0.0,0.0
motif_10,0,0.0,0.0,0.0
motif_11,0,0.1,0.44721359549995787,-0.22360679774997902
motif_12,0,0.05,0.22360679774997894,-0.22360679774997902
motif_13,1,0.0,0.0,1.0
