Motif,Average Count,Standard Deviation,Z-Score
1,0.3,0.48304589153964794,-0.6210590034081188
2,0.2,0.4216370213557839,-0.47434164902525694
3,2.2,1.9321835661585918,-1.1386081729148845
4,0.2,0.4216370213557839,4.2690748412273125
5,0.6,1.0749676997731399,1.302364713186689
6,0.1,0.31622776601683794,-0.31622776601683794
7,0.2,0.6324555320336759,-0.31622776601683794
8,0.4,0.699205898780101,0.8581163303210331
9,0.0,0.0,
10,0.0,0.0,
11,0.0,0.0,
12,0.1,0.31622776601683794,-0.31622776601683794
13,0.0,0.0,
