graph_name,motif,original_count,average_count,std_dev,z_score,significance_profile
7861312,motif_1,17276,21836.2,618.0570362029706,-7.378283447779447,-0.009068801649944397
7861312,motif_2,20947,22531.28,520.1963988085013,-3.0455420368706094,-0.0037433390631339165
7861312,motif_3,7461,34880.64,789.4120111407815,-34.73425741315464,-0.04269259824015183
7861312,motif_4,20756,6252.84,401.1821780687672,36.15105753155863,0.044434016734353265
7861312,motif_5,21858,6123.96,395.06449684408074,39.82650966029408,0.04895159139318522
7861312,motif_6,13681,571.4,77.99679480594058,168.07870160071647,0.20658902808292506
7861312,motif_7,4685,6071.0,281.14231271724293,-4.9298875953758,-0.0060594273824543495
7861312,motif_8,26,1244.44,54.19031278743462,-22.48446147154415,-0.027636119259232074
7861312,motif_9,4123,609.68,35.82447952634251,98.07037105498158,0.12054033287400233
7861312,motif_10,4168,604.4,45.66636252940086,78.0355562084825,0.09591512523292926
7861312,motif_11,802,946.4,51.93986907954235,-2.7801379279347294,-0.0034171253525798573
7861312,motif_12,5350,255.72,40.578647915703975,125.54090048989801,0.15430493197451428
7861312,motif_13,3071,12.08,3.9572717874818757,772.9870891547931,0.9500945089907652
